27,1
2,1
5,1
5,1
5,1
18,1
40,1
2,1
2,1
2,1
40,1
27,1
18,1
18,1
18,1
2,1
18,1
18,1
27,1
27,1
5,1
18,1
18,1
5,1
27,1
18,1
27,1
18,1
5,1
2,1
18,1
5,1
27,1
27,1
27,1
5,1
27,1
18,1
40,1
2,1
27,1
27,1
40,1
27,1
5,1
5,1
27,1
40,1
5,1
27,1
18,1
18,1
2,1
18,1
27,1
18,1
5,1
27,1
2,1
40,1
27,1
2,1
40,1
18,1
27,1
5,1
18,1
18,1
2,1
27,1
18,1
2,1
18,1
40,1
18,1
18,1
18,1
27,1
40,1
18,1
40,1
5,1
27,1
40,1
2,1
5,1
2,1
2,1
18,1
18,1
2,1
2,1
18,1
18,1
40,1
5,1
18,1
40,1
2,1
40,1
2,1
5,1
27,1
27,1
18,1
40,1
27,1
5,1
27,1
18,1
18,1
2,1
27,1
18,1
5,1
27,1
2,1
5,1
18,1
27,1
40,1
2,1
27,1
27,1
27,1
27,1
2,1
18,1
27,1
27,1
18,1
18,1
5,1
40,1
40,1
27,1
27,1
18,1
40,1
18,1
27,1
2,1
18,1
18,1
40,1
18,1
27,1
5,1
2,1
2,1
5,1
40,1
40,1
2,1
18,1
27,1
5,1
18,1
40,1
40,1
27,1
18,1
5,1
27,1
18,1
2,1
27,1
2,1
18,1
40,1
27,1
27,1
18,1
2,1
5,1
27,1
27,1
2,1
27,1
5,1
27,1
27,1
27,1
5,1
18,1
18,1
18,1
5,1
18,1
27,1
5,1
2,1
40,1
5,1
27,1
5,1
18,1
18,1
27,1
18,1
