Eps,0, 4.839897155761719e-05
Eps,1, 5.817413330078125e-05
Eps,2, 3.9577484130859375e-05
Eps,5, 4.76837158203125e-05
Eps,6, 3.933906555175781e-05
Eps,11, 0.0001380443572998047
Eps,7, 4.00543212890625e-05
Eps,10, 5.936622619628906e-05
Eps,3, 4.1961669921875e-05
Eps,4, 4.029273986816406e-05
Eps,8, 3.814697265625e-05
Eps,9, 5.173683166503906e-05
cluster,, 0.014367103576660156
Eps,0, 0.0002779960632324219
Eps,1, 6.031990051269531e-05
Eps,2, 0.00034046173095703125
Eps,5, 4.458427429199219e-05
Eps,6, 8.416175842285156e-05
Eps,11, 3.9577484130859375e-05
Eps,7, 8.797645568847656e-05
Eps,10, 3.981590270996094e-05
Eps,3, 0.00015282630920410156
Eps,4, 3.647804260253906e-05
Eps,8, 7.295608520507812e-05
Eps,9, 3.314018249511719e-05
cluster,, 0.015990018844604492
Eps,0, 0.00020265579223632812
Eps,1, 0.00046372413635253906
Eps,2, 0.00010776519775390625
Eps,5, 5.7220458984375e-05
Eps,6, 9.107589721679688e-05
Eps,11, 0.00012803077697753906
Eps,7, 0.0001380443572998047
Eps,10, 0.00011515617370605469
Eps,3, 6.031990051269531e-05
Eps,4, 9.846687316894531e-05
Eps,8, 8.606910705566406e-05
Eps,9, 5.888938903808594e-05
cluster,, 0.02367258071899414
